player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Leandro Barreiro Martins,LUX,MF,23,Mainz 05,Bundesliga,29.0,4,38,13.0,34.2,1.31,0.45,0.11,0.31,16.4,0.0,0,0,4.5,4.5,0.12,-0.5,-0.5
Anthony Caci,FRA,DF,26,Mainz 05,Bundesliga,27.6,2,31,5.0,16.1,1.12,0.18,0.06,0.4,18.2,0.0,0,0,1.5,1.5,0.05,0.5,0.5
Dominik Kohr,GER,"DF,MF",29,Mainz 05,Bundesliga,24.3,1,25,7.0,28.0,1.03,0.29,0.04,0.14,16.5,0.0,0,0,1.6,1.6,0.07,-0.6,-0.6
Lee Jae-sung,KOR,"MF,FW",30,Mainz 05,Bundesliga,23.5,6,38,13.0,34.2,1.62,0.55,0.16,0.46,14.7,0.0,0,0,4.9,4.9,0.13,1.1,1.1
Phillipp Mwene,AUT,DF,29,Mainz 05,Bundesliga,22.2,1,24,9.0,37.5,1.08,0.41,0.04,0.11,19.2,0.0,0,0,1.4,1.4,0.06,-0.4,-0.4
Brajan Gruda,GER,"MF,FW",19,Mainz 05,Bundesliga,18.2,4,30,12.0,40.0,1.65,0.66,0.13,0.33,18.2,2.0,0,0,3.5,3.5,0.12,0.5,0.5
Jonathan Burkardt,GER,"FW,MF",23,Mainz 05,Bundesliga,17.1,8,40,16.0,40.0,2.34,0.94,0.18,0.44,14.5,0.0,1,1,6.1,5.3,0.13,1.9,1.7
Karim Onisiwo,AUT,"FW,MF",31,Mainz 05,Bundesliga,16.6,1,33,7.0,21.2,1.99,0.42,0.03,0.14,14.8,0.0,0,0,2.3,2.3,0.07,-1.3,-1.3
Ludovic Ajorque,FRA,FW,29,Mainz 05,Bundesliga,15.1,2,27,6.0,22.2,1.79,0.4,0.07,0.33,13.1,0.0,0,2,5.3,3.7,0.14,-3.3,-1.7
Nadiem Amiri,GER,MF,26,Mainz 05,Bundesliga,14.6,1,35,8.0,22.9,2.4,0.55,0.03,0.13,26.8,11.0,0,1,2.2,1.4,0.04,-1.2,-0.4
Tom Krauß,GER,MF,22,Mainz 05,Bundesliga,15.0,1,19,2.0,10.5,1.27,0.13,0.05,0.5,24.0,0.0,0,0,0.8,0.8,0.04,0.2,0.2
Edimilson Fernandes,SUI,DF,27,Mainz 05,Bundesliga,14.3,0,15,0.0,0.0,1.05,0.0,0.0,0.0,26.8,3.0,0,0,0.5,0.5,0.03,-0.5,-0.5
Silvan Widmer,SUI,DF,30,Mainz 05,Bundesliga,13.8,1,14,3.0,21.4,1.01,0.22,0.07,0.33,15.4,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4
Andreas Hanche-Olsen,NOR,DF,26,Mainz 05,Bundesliga,11.0,1,4,1.0,25.0,0.36,0.09,0.25,1.0,6.6,0.0,0,0,0.7,0.7,0.17,0.3,0.3
Danny da Costa,GER,DF,30,Mainz 05,Bundesliga,9.2,0,6,1.0,16.7,0.65,0.11,0.0,0.0,19.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Stefan Bell,GER,DF,31,Mainz 05,Bundesliga,7.4,0,4,2.0,50.0,0.54,0.27,0.0,0.0,16.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Marco Richter,GER,"MF,FW",25,Mainz 05,Bundesliga,8.0,1,38,9.0,23.7,4.77,1.13,0.03,0.11,21.2,4.0,0,0,1.9,1.9,0.05,-0.9,-0.9
Josuha Guilavogui,FRA,DF,32,Mainz 05,Bundesliga,4.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Maxim Leitsch,GER,DF,25,Mainz 05,Bundesliga,4.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Daniel Batz,GER,GK,32,Mainz 05,Bundesliga,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Matondo-Merveille Papela,GER,"MF,DF",22,Mainz 05,Bundesliga,2.9,0,4,1.0,25.0,1.4,0.35,0.0,0.0,17.8,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Jessic Ngankam,GER,"FW,MF",23,Mainz 05,Bundesliga,2.0,0,7,1.0,14.3,3.42,0.49,0.0,0.0,17.4,0.0,0,0,0.6,0.6,0.09,-0.6,-0.6
Anton Stach,GER,MF,24,Mainz 05,Bundesliga,1.9,0,2,1.0,50.0,1.06,0.53,0.0,0.0,12.8,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Aymen Barkok,MAR,"MF,FW",25,Mainz 05,Bundesliga,3.6,1,11,6.0,54.5,3.08,1.68,0.09,0.17,17.2,0.0,0,1,1.7,0.9,0.08,-0.7,0.1
Nelson Weiper,GER,"FW,MF",18,Mainz 05,Bundesliga,1.4,0,2,0.0,0.0,1.45,0.0,0.0,0.0,8.2,0.0,0,0,0.5,0.5,0.24,-0.5,-0.5
Anwar El Ghazi,NED,"MF,DF",28,Mainz 05,Bundesliga,0.6,0,2,0.0,0.0,3.33,0.0,0.0,0.0,21.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Marcus Müller,GER,MF,20,Mainz 05,Bundesliga,0.2,0,1,0.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
David Mamutovic,GER,"FW,DF",22,Mainz 05,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Julian Weigl,GER,MF,27,Gladbach,Bundesliga,30.7,2,17,4.0,23.5,0.55,0.13,0.0,0.0,25.2,1.0,2,2,2.4,0.9,0.05,-0.4,-0.9
Nico Elvedi,SUI,DF,26,Gladbach,Bundesliga,27.6,2,18,6.0,33.3,0.65,0.22,0.11,0.33,11.4,0.0,0,0,1.6,1.6,0.09,0.4,0.4
Franck Honorat,FRA,"DF,FW",26,Gladbach,Bundesliga,26.1,3,28,10.0,35.7,1.07,0.38,0.11,0.3,18.3,1.0,0,0,1.6,1.6,0.06,1.4,1.4
Moritz Nicolas,GER,GK,25,Gladbach,Bundesliga,27.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Joe Scally,USA,DF,20,Gladbach,Bundesliga,24.8,1,11,1.0,9.1,0.44,0.04,0.09,1.0,22.0,0.0,0,0,0.6,0.6,0.05,0.4,0.4
Luca Netz,GER,DF,20,Gladbach,Bundesliga,24.7,0,17,5.0,29.4,0.69,0.2,0.0,0.0,16.7,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0
Rocco Reitz,GER,MF,21,Gladbach,Bundesliga,23.7,6,33,14.0,42.4,1.39,0.59,0.18,0.43,17.3,0.0,0,0,3.7,3.7,0.11,2.3,2.3
Maximilian Wöber,AUT,DF,25,Gladbach,Bundesliga,23.0,2,19,3.0,15.8,0.83,0.13,0.11,0.67,14.1,0.0,0,0,1.3,1.3,0.07,0.7,0.7
Alassane Pléa,FRA,"FW,MF",30,Gladbach,Bundesliga,21.3,7,57,18.0,31.6,2.68,0.85,0.11,0.33,17.6,0.0,1,1,7.0,6.2,0.11,0.0,-0.2
Ko Itakura,JPN,"DF,MF",26,Gladbach,Bundesliga,17.7,3,21,7.0,33.3,1.18,0.39,0.14,0.43,15.7,0.0,0,0,1.3,1.3,0.06,1.7,1.7
Manu Koné,FRA,MF,22,Gladbach,Bundesliga,17.3,1,24,8.0,33.3,1.38,0.46,0.04,0.13,19.3,0.0,0,0,1.2,1.2,0.05,-0.2,-0.2
Jordan Pefok,USA,FW,27,Gladbach,Bundesliga,15.8,5,35,9.0,25.7,2.22,0.57,0.14,0.56,10.9,0.0,0,0,6.5,6.5,0.2,-1.5,-1.5
Marvin Friedrich,GER,DF,27,Gladbach,Bundesliga,17.4,0,12,2.0,16.7,0.69,0.11,0.0,0.0,15.7,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6
Florian Neuhaus,GER,MF,26,Gladbach,Bundesliga,13.6,4,38,13.0,34.2,2.79,0.96,0.08,0.23,21.9,1.0,1,1,4.3,3.5,0.1,-0.3,-0.5
Nathan N'Goumou,FRA,"FW,MF",23,Gladbach,Bundesliga,15.4,5,31,11.0,35.5,2.01,0.71,0.16,0.45,15.8,0.0,0,0,3.8,3.8,0.12,1.2,1.2
Robin Hack,GER,"FW,MF",24,Gladbach,Bundesliga,15.0,10,43,22.0,51.2,2.87,1.47,0.23,0.45,19.9,0.0,0,0,3.9,3.9,0.09,6.1,6.1
Stefan Lainer,AUT,"DF,MF",30,Gladbach,Bundesliga,8.3,0,3,0.0,0.0,0.36,0.0,0.0,0.0,11.6,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
Tomáš Čvančara,CZE,FW,22,Gladbach,Bundesliga,10.0,4,34,11.0,32.4,3.42,1.1,0.09,0.27,14.2,1.0,1,2,5.9,4.3,0.13,-1.9,-1.3
Jonas Omlin,SUI,GK,29,Gladbach,Bundesliga,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Christoph Kramer,GER,MF,32,Gladbach,Bundesliga,2.8,0,1,0.0,0.0,0.36,0.0,0.0,0.0,16.1,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1
Fabio Chiarodia,ITA,DF,18,Gladbach,Bundesliga,1.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Herrmann,GER,"FW,DF",32,Gladbach,Bundesliga,1.0,0,4,0.0,0.0,4.19,0.0,0.0,0.0,18.8,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Grant Ranos,ARM,"MF,FW",20,Gladbach,Bundesliga,0.5,0,3,0.0,0.0,5.51,0.0,0.0,0.0,17.0,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Lukas Ullrich,GER,"DF,FW",19,Gladbach,Bundesliga,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Shiō Fukuda,JPN,"FW,MF",19,Gladbach,Bundesliga,0.4,0,2,0.0,0.0,5.0,0.0,0.0,0.0,8.1,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2
Tony Jantschke,GER,"DF,MF",33,Gladbach,Bundesliga,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Yvandro Borges Sanches,LUX,"MF,FW",19,Gladbach,Bundesliga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Frederik Rønnow,DEN,GK,30,Union Berlin,Bundesliga,33.0,0,3,0.0,0.0,0.09,0.0,0.0,0.0,11.0,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Diogo Leite,POR,DF,24,Union Berlin,Bundesliga,30.0,0,13,4.0,30.8,0.43,0.13,0.0,0.0,12.3,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8
Robin Gosens,GER,"DF,MF",29,Union Berlin,Bundesliga,25.4,6,32,10.0,31.3,1.26,0.39,0.19,0.6,12.0,0.0,0,0,2.1,2.1,0.07,3.9,3.9
Danilho Doekhi,NED,DF,25,Union Berlin,Bundesliga,24.0,2,16,2.0,12.5,0.67,0.08,0.13,1.0,10.0,0.0,0,0,1.2,1.2,0.07,0.8,0.8
Robin Knoche,GER,DF,31,Union Berlin,Bundesliga,21.3,1,7,3.0,42.9,0.33,0.14,0.14,0.33,13.3,0.0,0,1,1.2,0.4,0.06,-0.2,0.6
Christopher Trimmel,AUT,DF,36,Union Berlin,Bundesliga,18.3,0,6,4.0,66.7,0.33,0.22,0.0,0.0,20.5,0.0,0,0,0.6,0.5,0.08,-0.6,-0.5
Lucas Tousart,FRA,MF,26,Union Berlin,Bundesliga,17.5,0,25,6.0,24.0,1.43,0.34,0.0,0.0,18.0,0.0,0,0,1.5,1.5,0.06,-1.5,-1.5
Rani Khedira,GER,MF,29,Union Berlin,Bundesliga,14.9,0,3,1.0,33.3,0.2,0.07,0.0,0.0,17.5,0.0,0,0,0.4,0.4,0.13,-0.4,-0.4
Kevin Volland,GER,"FW,MF",31,Union Berlin,Bundesliga,14.9,3,33,10.0,30.3,2.21,0.67,0.03,0.1,19.7,0.0,2,3,5.3,2.9,0.09,-2.3,-1.9
Kevin Vogt,GER,DF,31,Union Berlin,Bundesliga,14.7,0,1,0.0,0.0,0.07,0.0,0.0,0.0,14.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Benedict Hollerbach,GER,"FW,MF",22,Union Berlin,Bundesliga,14.2,5,34,10.0,29.4,2.39,0.7,0.15,0.5,16.1,0.0,0,0,3.4,3.4,0.1,1.6,1.6
Josip Juranović,CRO,DF,27,Union Berlin,Bundesliga,14.4,0,11,2.0,18.2,0.77,0.14,0.0,0.0,23.3,2.0,0,1,1.4,0.6,0.06,-1.4,-0.6
Brenden Aaronson,USA,"MF,FW",22,Union Berlin,Bundesliga,14.1,2,18,7.0,38.9,1.28,0.5,0.11,0.29,18.4,0.0,0,0,2.0,2.0,0.11,0.0,0.0
Kevin Behrens,GER,FW,32,Union Berlin,Bundesliga,14.0,4,41,13.0,31.7,2.92,0.93,0.1,0.31,10.8,0.0,0,0,6.0,6.0,0.15,-2.0,-2.0
Janik Haberer,GER,"MF,DF",29,Union Berlin,Bundesliga,13.6,1,15,3.0,20.0,1.11,0.22,0.07,0.33,19.1,0.0,0,0,0.9,0.8,0.05,0.1,0.2
András Schäfer,HUN,MF,24,Union Berlin,Bundesliga,13.5,1,21,5.0,23.8,1.56,0.37,0.05,0.2,16.9,0.0,0,0,1.8,1.8,0.08,-0.8,-0.8
Alex Král,CZE,MF,25,Union Berlin,Bundesliga,15.2,0,18,5.0,27.8,1.18,0.33,0.0,0.0,20.6,0.0,0,0,1.7,1.7,0.09,-1.7,-1.7
Aïssa Laïdouni,TUN,MF,26,Union Berlin,Bundesliga,11.9,0,13,5.0,38.5,1.09,0.42,0.0,0.0,21.7,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Jérôme Roussillon,FRA,DF,30,Union Berlin,Bundesliga,8.4,0,7,4.0,57.1,0.84,0.48,0.0,0.0,20.4,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
David Datro Fofana,CIV,"FW,MF",20,Union Berlin,Bundesliga,7.6,1,26,12.0,46.2,3.43,1.58,0.04,0.08,15.6,4.0,0,0,2.8,2.8,0.11,-1.8,-1.8
Sheraldo Becker,SUR,"FW,MF",28,Union Berlin,Bundesliga,7.2,0,16,4.0,25.0,2.23,0.56,0.0,0.0,20.5,1.0,0,0,0.8,0.8,0.05,-0.8,-0.8
Yorbe Vertessen,BEL,"FW,MF",22,Union Berlin,Bundesliga,6.6,3,24,9.0,37.5,3.64,1.37,0.13,0.33,16.8,0.0,0,0,2.7,2.7,0.11,0.3,0.3
Leonardo Bonucci,ITA,DF,36,Union Berlin,Bundesliga,5.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8,0.0,0.0,0.2,0.0
Mikkel Kaufmann,DEN,FW,22,Union Berlin,Bundesliga,5.4,1,15,6.0,40.0,2.78,1.11,0.07,0.17,15.8,0.0,0,0,1.3,1.3,0.09,-0.3,-0.3
Paul Jaeckel,GER,DF,25,Union Berlin,Bundesliga,2.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alexander Schwolow,GER,GK,31,Union Berlin,Bundesliga,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Chris Bedia,CIV,"FW,MF",27,Union Berlin,Bundesliga,1.6,1,3,1.0,33.3,1.86,0.62,0.33,1.0,16.9,0.0,0,0,0.2,0.2,0.07,0.8,0.8
Aljoscha Kemlein,GER,MF,18,Union Berlin,Bundesliga,0.3,0,1,0.0,0.0,3.1,0.0,0.0,0.0,23.2,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Jordan Pefok,USA,FW,27,Union Berlin,Bundesliga,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Miloš Pantović,SRB,MF,27,Union Berlin,Bundesliga,0.2,1,1,1.0,100.0,6.0,6.0,1.0,1.0,13.2,0.0,0,0,0.8,0.8,0.76,0.2,0.2
Manuel Riemann,GER,GK,34,Bochum,Bundesliga,33.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Bernardo,BRA,DF,28,Bochum,Bundesliga,32.5,1,29,8.0,27.6,0.89,0.25,0.03,0.13,12.4,0.0,0,0,1.9,1.9,0.07,-0.9,-0.9
Kevin Stöger,AUT,MF,29,Bochum,Bundesliga,29.6,7,71,14.0,19.7,2.4,0.47,0.04,0.21,25.7,13.0,4,4,6.2,3.1,0.04,0.8,-0.1
Anthony Losilla,FRA,MF,37,Bochum,Bundesliga,28.6,1,28,6.0,21.4,0.98,0.21,0.04,0.17,18.0,0.0,0,0,2.3,2.3,0.08,-1.3,-1.3
Takuma Asano,JPN,"FW,MF",28,Bochum,Bundesliga,22.1,6,65,23.0,35.4,2.95,1.04,0.09,0.26,14.9,0.0,0,0,7.9,7.9,0.12,-1.9,-1.9
Erhan Mašović,SRB,"DF,MF",24,Bochum,Bundesliga,24.7,0,17,3.0,17.6,0.69,0.12,0.0,0.0,21.2,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1
Keven Schlotterbeck,GER,DF,26,Bochum,Bundesliga,24.3,5,27,12.0,44.4,1.11,0.49,0.19,0.42,12.9,0.0,0,0,2.0,2.0,0.08,3.0,3.0
Ivan Ordets,UKR,DF,31,Bochum,Bundesliga,20.9,1,16,6.0,37.5,0.77,0.29,0.06,0.17,10.7,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3
Patrick Osterhage,GER,MF,23,Bochum,Bundesliga,20.7,2,22,3.0,13.6,1.06,0.15,0.09,0.67,19.5,0.0,0,0,1.4,1.4,0.06,0.6,0.6
Matúš Bero,SVK,"MF,FW",27,Bochum,Bundesliga,18.5,1,30,6.0,20.0,1.63,0.33,0.03,0.17,19.9,0.0,0,0,2.9,2.9,0.1,-1.9,-1.9
Philipp Hofmann,GER,FW,30,Bochum,Bundesliga,17.5,4,39,15.0,38.5,2.23,0.86,0.1,0.27,11.7,0.0,0,0,4.8,4.8,0.12,-0.8,-0.8
Moritz Broschinski,GER,FW,22,Bochum,Bundesliga,13.9,2,26,7.0,26.9,1.88,0.51,0.08,0.29,15.4,0.0,0,0,2.4,2.4,0.09,-0.4,-0.4
Maximilian Wittek,GER,"DF,FW",27,Bochum,Bundesliga,11.9,3,26,8.0,30.8,2.19,0.67,0.12,0.38,25.5,3.0,0,0,1.3,1.3,0.05,1.7,1.7
Felix Passlack,GER,DF,25,Bochum,Bundesliga,10.7,2,14,3.0,21.4,1.31,0.28,0.14,0.67,21.0,0.0,0,0,0.9,0.9,0.06,1.1,1.1
Cristian Gamboa,CRC,DF,33,Bochum,Bundesliga,13.2,0,6,1.0,16.7,0.45,0.08,0.0,0.0,31.2,0.0,0,0,0.1,0.1,0.01,-0.1,-0.1
Christopher Antwi-Adjei,GHA,"FW,MF",29,Bochum,Bundesliga,13.5,2,29,9.0,31.0,2.15,0.67,0.07,0.22,18.2,0.0,0,0,2.2,2.2,0.08,-0.2,-0.2
Tim Oermann,GER,DF,19,Bochum,Bundesliga,7.9,0,5,0.0,0.0,0.63,0.0,0.0,0.0,27.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Gonçalo Paciência,POR,"FW,MF",28,Bochum,Bundesliga,7.2,3,38,12.0,31.6,5.26,1.66,0.08,0.25,17.9,1.0,0,0,3.0,3.0,0.08,0.0,0.0
Lukas Daschner,GER,"MF,FW",24,Bochum,Bundesliga,6.0,1,13,5.0,38.5,2.18,0.84,0.08,0.2,16.7,0.0,0,0,2.3,2.3,0.18,-1.3,-1.3
Philipp Förster,GER,"MF,FW",28,Bochum,Bundesliga,4.3,0,6,1.0,16.7,1.4,0.23,0.0,0.0,19.8,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5
Danilo Soares,BRA,DF,31,Bochum,Bundesliga,3.9,0,3,0.0,0.0,0.77,0.0,0.0,0.0,28.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Noah Loosli,SUI,DF,26,Bochum,Bundesliga,3.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Moritz-Broni Kwarteng,GHA,FW,25,Bochum,Bundesliga,3.1,0,14,3.0,21.4,4.48,0.96,0.0,0.0,17.5,1.0,0,0,1.0,1.0,0.07,-1.0,-1.0
Andreas Luthe,GER,GK,36,Bochum,Bundesliga,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Simon Zoller,GER,"FW,MF",32,Bochum,Bundesliga,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Marvin Schwäbe,GER,GK,28,Köln,Bundesliga,34.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Julian Chabot,GER,DF,25,Köln,Bundesliga,30.0,0,19,3.0,15.8,0.63,0.1,0.0,0.0,11.0,0.0,0,0,1.4,1.4,0.07,-1.4,-1.4
Timo Hübers,GER,DF,27,Köln,Bundesliga,30.9,0,22,5.0,22.7,0.71,0.16,0.0,0.0,12.6,0.0,0,0,1.8,1.8,0.08,-1.8,-1.8
Eric Martel,GER,MF,21,Köln,Bundesliga,27.3,1,27,9.0,33.3,0.99,0.33,0.04,0.11,18.9,0.0,0,0,2.2,2.2,0.09,-1.2,-1.2
Florian Kainz,AUT,"MF,FW",30,Köln,Bundesliga,24.4,5,23,4.0,17.4,0.94,0.16,0.0,0.0,25.5,3.0,5,5,5.0,1.0,0.04,0.0,-1.0
Dejan Ljubicic,AUT,"MF,FW",25,Köln,Bundesliga,22.8,0,38,9.0,23.7,1.67,0.4,0.0,0.0,21.8,0.0,0,0,1.9,1.9,0.05,-1.9,-1.9
Linton Maina,GER,"FW,MF",24,Köln,Bundesliga,21.1,1,33,11.0,33.3,1.56,0.52,0.03,0.09,19.8,0.0,0,0,1.9,1.9,0.06,-0.9,-0.9
Jan Thielmann,GER,"FW,DF",21,Köln,Bundesliga,17.5,1,37,12.0,32.4,2.11,0.68,0.03,0.08,18.8,0.0,0,0,2.3,2.3,0.06,-1.3,-1.3
Max Finkgräfe,GER,"DF,FW",19,Köln,Bundesliga,19.5,1,12,4.0,33.3,0.62,0.21,0.08,0.25,21.8,2.0,0,0,1.0,1.0,0.09,0.0,0.0
Rasmus Carstensen,DEN,"DF,FW",22,Köln,Bundesliga,18.4,0,10,4.0,40.0,0.54,0.22,0.0,0.0,15.1,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9
Denis Huseinbasic,BIH,MF,22,Köln,Bundesliga,18.1,0,12,3.0,25.0,0.66,0.17,0.0,0.0,24.2,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Davie Selke,GER,FW,28,Köln,Bundesliga,14.1,6,33,11.0,33.3,2.35,0.78,0.18,0.55,11.1,0.0,0,0,4.8,4.8,0.14,1.2,1.2
Faride Alidou,GER,"FW,MF",22,Köln,Bundesliga,14.2,4,33,11.0,33.3,2.32,0.77,0.12,0.36,14.5,0.0,0,0,3.0,3.0,0.09,1.0,1.0
Luca Waldschmidt,GER,"MF,FW",27,Köln,Bundesliga,12.7,3,42,15.0,35.7,3.3,1.18,0.07,0.2,22.3,2.0,0,1,2.9,2.1,0.05,0.1,0.9
Benno Schmitz,GER,DF,28,Köln,Bundesliga,12.8,0,8,5.0,62.5,0.62,0.39,0.0,0.0,23.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Leart Paqarada,KVX,DF,28,Köln,Bundesliga,11.9,0,10,4.0,40.0,0.84,0.33,0.0,0.0,26.6,3.0,0,0,0.4,0.4,0.04,-0.4,-0.4
Sargis Adamyan,ARM,"FW,MF",30,Köln,Bundesliga,8.9,1,31,13.0,41.9,3.48,1.46,0.03,0.08,12.4,0.0,0,0,4.1,4.1,0.13,-3.1,-3.1
Steffen Tigges,GER,FW,25,Köln,Bundesliga,8.1,3,22,9.0,40.9,2.72,1.11,0.14,0.33,13.0,0.0,0,0,2.6,2.6,0.16,0.4,0.4
Luca Kilian,GER,DF,23,Köln,Bundesliga,7.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Dominique Heintz,GER,DF,29,Köln,Bundesliga,6.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Mark Uth,GER,"MF,FW",31,Köln,Bundesliga,4.1,0,12,5.0,41.7,2.9,1.21,0.0,0.0,14.9,1.0,0,0,2.0,2.0,0.17,-2.0,-2.0
Jacob Christensen,DEN,MF,22,Köln,Bundesliga,2.4,0,1,0.0,0.0,0.41,0.0,0.0,0.0,15.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Justin Diehl,GER,"FW,MF",18,Köln,Bundesliga,1.9,0,7,2.0,28.6,3.75,1.07,0.0,0.0,23.1,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Damion Downs,GER,"FW,MF",19,Köln,Bundesliga,2.0,2,5,2.0,40.0,2.49,0.99,0.4,1.0,10.9,0.0,0,0,1.0,1.0,0.21,1.0,1.0
Mathias Olesen,LUX,"MF,FW",22,Köln,Bundesliga,1.2,0,1,0.0,0.0,0.8,0.0,0.0,0.0,30.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Florian Dietz,GER,"FW,MF",24,Köln,Bundesliga,0.8,0,3,1.0,33.3,3.86,1.29,0.0,0.0,15.8,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
Marcel Schuhen,GER,GK,30,Darmstadt 98,Bundesliga,31.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Tim Skarke,GER,"FW,DF",26,Darmstadt 98,Bundesliga,26.7,8,69,20.0,29.0,2.58,0.75,0.12,0.4,21.9,1.0,0,0,3.6,3.6,0.05,4.4,4.4
Christoph Klarer,AUT,DF,23,Darmstadt 98,Bundesliga,26.2,2,9,2.0,22.2,0.34,0.08,0.22,1.0,9.3,0.0,0,0,1.2,1.2,0.13,0.8,0.8
Fabian Holland,GER,"MF,DF",33,Darmstadt 98,Bundesliga,20.4,0,11,3.0,27.3,0.54,0.15,0.0,0.0,24.7,1.0,0,0,0.6,0.6,0.06,-0.6,-0.6
Matthias Bader,GER,"DF,MF",26,Darmstadt 98,Bundesliga,20.0,1,17,1.0,5.9,0.85,0.05,0.06,1.0,22.3,0.0,0,0,0.7,0.7,0.04,0.3,0.3
Matej Maglica,CRO,DF,24,Darmstadt 98,Bundesliga,18.9,1,10,2.0,20.0,0.53,0.11,0.1,0.5,20.8,1.0,0,0,0.6,0.6,0.06,0.4,0.4
