player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ivan Provedel,ITA,GK,30,Lazio,Serie A,30.0,0,0,0,0,7,0,0,0,0,0,0,0,36,3,0,100.0
Luis Alberto,ESP,MF,31,Lazio,Serie A,25.7,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5
Mattéo Guendouzi,FRA,MF,25,Lazio,Serie A,26.3,3,1,0,26,34,0,42,21,15,0,1,0,120,12,25,32.4
Alessio Romagnoli,ITA,DF,29,Lazio,Serie A,26.8,9,0,0,34,19,1,1,29,18,0,0,0,120,76,54,58.5
Mattia Zaccagni,ITA,"FW,MF",28,Lazio,Serie A,21.7,8,0,0,29,79,7,71,21,16,1,0,0,77,11,12,47.8
Mario Gila,ESP,DF,23,Lazio,Serie A,20.1,4,1,1,21,23,1,8,20,14,0,0,0,109,29,43,40.3
Ciro Immobile,ITA,FW,34,Lazio,Serie A,18.4,8,0,0,22,31,14,7,5,9,2,0,0,34,14,28,33.3
Manuel Lazzari,ITA,DF,30,Lazio,Serie A,18.6,4,1,0,16,20,1,56,12,18,0,0,0,72,5,16,23.8
Patric,ESP,DF,31,Lazio,Serie A,17.9,4,0,0,8,6,0,11,6,8,0,0,0,71,9,17,34.6
Daichi Kamada,JPN,MF,27,Lazio,Serie A,17.2,3,0,0,39,13,2,11,18,36,0,0,0,75,3,16,15.8
Valentín Castellanos,ARG,FW,25,Lazio,Serie A,18.7,2,0,0,34,31,20,15,2,10,0,0,0,51,71,64,52.6
Nicolò Casale,ITA,DF,26,Lazio,Serie A,17.3,5,0,0,24,6,0,0,12,9,0,1,0,74,23,24,48.9
Nicolò Rovella,ITA,MF,22,Lazio,Serie A,14.6,6,0,0,38,16,0,20,23,28,0,0,0,99,11,9,55.0
Danilo Cataldi,ITA,MF,29,Lazio,Serie A,15.1,8,0,0,17,8,0,31,17,12,0,0,0,105,6,4,60.0
Gustav Isaksen,DEN,FW,23,Lazio,Serie A,11.9,3,0,0,17,24,3,29,4,3,0,0,0,41,4,7,36.4
Elseid Hysaj,ALB,DF,30,Lazio,Serie A,13.3,2,0,0,14,9,3,18,17,14,0,0,0,72,14,13,51.9
